ra,fase,turma,nome,ano_nasc,idade_22,genero,ano_ingresso,instituicao_de_ensino,pedra_20,pedra_21,pedra_22,pedra_21_raw,pedra_22_raw,pedra_21_num,pedra_22_num,evolucao_pedra,inde_22,inde_22_num,inde_num,cg,cf,ct,no_av,iaa,ieg,ips,ida,matem,portug,ingles,ipv,ian,ipp,ipp_num,cg_num,iaa_num,ieg_num,ips_num,ida_num,matem_num,portug_num,ingles_num,ipv_num,ian_num,dim_academica,dim_psicossocial,dim_psicopedagogica,sent_score,sent_len,inde_calc,defas,em_risco,avaliador1,rec_av1,avaliador2,rec_av2,avaliador3,rec_av3,avaliador4,rec_av4,rec_psicologia,indicado,atingiu_pv,fase_ideal,destaque_ieg,destaque_ida,destaque_ipv
RA-11,7,A,Aluno-11,2004,18,Menina,2016,Escola Pública,Quartzo,Ágata,Quartzo,Ágata,Quartzo,2.0,1,-1.0,5.323,5.323,5.323,799.0,19,11,4,9.2,4.2,5.0,3.0,1.8,2.5,4.5,6.389,5.0,6.58761934093009,6.58761934093009,799.0,9.2,4.2,5.0,3.0,1.8,2.5,4.5,6.389,5.0,3.6666666666666665,5.52,6.4883096704650445,-3,254,5.15766193409301,-1,1,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Requer avaliação,Não,Não,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-12,7,A,Aluno-12,2005,17,Menina,2020,Escola Pública,Ágata,Ágata,Quartzo,Ágata,Quartzo,2.0,1,-1.0,4.832,4.832,4.832,834.0,20,12,4,0.0,4.0,6.9,1.5,2.7,1.1,0.7,6.389,10.0,6.267323683400062,6.267323683400062,834.0,0.0,4.0,6.9,1.5,2.7,1.1,0.7,6.389,10.0,4.333333333333333,4.36,6.32816184170003,-1,256,4.745632368340006,0,1,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Sem limitações,Sim,Não,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-13,7,A,Aluno-13,2004,18,Menino,2016,Escola Pública,Ametista,Ametista,Ágata,Ametista,Ágata,3.0,2,-1.0,6.902,6.902,6.902,524.0,10,4,4,7.9,7.4,7.5,4.7,3.5,5.5,5.2,8.056,5.0,8.882044964582692,8.882044964582692,524.0,7.9,7.4,7.5,4.7,3.5,5.5,5.2,8.056,5.0,4.799999999999999,7.540000000000001,8.469022482291345,3,264,6.903804496458269,-1,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Sem limitações,Sim,Não,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-14,7,D,Aluno-14,2001,21,Menino,2022,Escola Pública,,,Ágata,nan,Ágata,,2,,6.793,6.793,6.793,558.0,12,7,4,7.9,8.3,7.5,4.0,8.0,0.0,,7.75,5.0,7.947336002463812,7.947336002463812,558.0,7.9,8.3,7.5,4.0,8.0,0.0,,7.75,5.0,4.333333333333333,7.9,7.848668001231906,2,258,6.819733600246382,-1,0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Não atendido,Sim,Não,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-15,7,D,Aluno-15,2004,18,Menino,2022,Escola Pública,,,Ametista,nan,Ametista,,3,,7.783,7.783,7.783,207.0,3,2,4,8.8,10.0,7.5,7.3,8.0,6.5,,7.292,5.0,9.65352633199877,9.65352633199877,207.0,8.8,10.0,7.5,7.3,8.0,6.5,,7.292,5.0,6.533333333333332,8.76,8.472763165999385,1,256,8.034552633199876,-1,0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Não atendido,Sim,Não,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-16,7,D,Aluno-16,2003,19,Menino,2022,Escola Pública,,,Ágata,nan,Ágata,,2,,6.112,6.112,6.112,706.0,14,8,4,7.9,8.3,5.0,3.5,7.0,0.0,,6.333,5.0,7.600862334462581,7.600862334462581,706.0,7.9,8.3,5.0,3.5,7.0,0.0,,6.333,5.0,4.0,6.9,6.966931167231292,1,260,6.043386233446259,-1,1,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Requer avaliação,Sim,Não,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-17,7,D,Aluno-17,2002,20,Menino,2022,Escola Pública,,,Topázio,nan,Topázio,,4,,8.068,8.068,8.068,125.0,2,1,4,8.8,10.0,7.5,7.8,9.0,6.5,,8.292,5.0,9.973821989528796,9.973821989528796,125.0,8.8,10.0,7.5,7.8,9.0,6.5,,8.292,5.0,6.866666666666666,8.76,9.132910994764398,6,257,8.26658219895288,-1,0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Não atendido,Sim,Não,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-18,7,D,Aluno-18,2003,19,Menino,2022,Escola Pública,,,Ametista,nan,Ametista,,3,,7.226,7.226,7.226,418.0,7,5,4,6.3,8.7,6.3,9.0,9.0,9.0,,6.875,5.0,8.666461348937482,8.666461348937482,418.0,6.3,8.7,6.3,9.0,9.0,9.0,,6.875,5.0,7.666666666666665,7.26,7.770730674468741,5,259,7.484146134893748,-1,0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Requer avaliação,Sim,Não,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-19,7,D,Aluno-19,2003,19,Menina,2022,Escola Pública,,,Ametista,nan,Ametista,,3,,7.665,7.665,7.665,248.0,4,3,4,7.9,9.5,7.5,8.0,7.0,9.0,,7.0,5.0,9.33323067446874,9.33323067446874,248.0,7.9,9.5,7.5,8.0,7.0,9.0,,7.0,5.0,6.999999999999999,8.38,8.16661533723437,5,257,7.923323067446875,-1,0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Sem limitações,Sim,Não,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-20,7,D,Aluno-20,2003,19,Menina,2022,Escola Pública,,,Ametista,nan,Ametista,,3,,7.535,7.535,7.535,296.0,5,4,4,7.1,10.0,6.3,7.8,9.0,6.5,,7.167,5.0,9.012935016938712,9.012935016938712,296.0,7.1,10.0,6.3,7.8,9.0,6.5,,7.167,5.0,6.866666666666666,7.9399999999999995,8.089967508469355,4,253,7.647993501693872,-1,0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Não atendido,Sim,Não,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
